Time,Voltage5,0
10,0
15,0
20,0
25,0
30,1
35,1
40,2
45,2
50,3
55,3
60,4
65,5
70,5
75,6
80,7
85,7
90,8
95,9
100,9
105,10
110,10
115,11
120,12
125,12
130,13
135,14
140,14
145,15
150,16
155,16
160,17
165,17
170,18
175,18
180,19
185,19
190,20
195,20
200,21
205,21
210,22
215,23
220,22
225,23
230,23
235,24
240,24
245,24
250,25
255,25
260,25
265,26
270,26
275,26
280,26
285,26
290,27
295,27
300,27
305,27
310,27
315,28
320,28
325,28
330,28
335,28
340,28
345,28
350,28
355,28
360,28
365,28
370,28
375,28
380,28
385,28
390,28
395,28
400,28
405,28
410,27
415,27
420,27
425,28
430,27
435,27
440,27
445,27
450,26
455,26
460,26
465,26
470,26
475,25
480,25
485,25
490,25
495,25
500,25
505,24
510,24
515,24
520,23
525,24
530,23
535,23
540,22
545,22
550,22
555,21
560,21
565,21
570,21
575,20
580,20
585,20
590,20
595,19
600,19
605,19
610,19
615,19
620,18
625,18
630,18
635,17
640,17
645,17
650,17
655,17
660,16
665,16
670,16
675,16
680,16
685,15
690,15
695,15
700,15
705,15
710,14
715,14
720,14
725,14
730,14
735,14
740,14
745,14
750,14
755,13
760,14
765,13
770,13
775,13
780,13
785,13
790,13
795,13
800,13
805,13
810,13
815,13
820,13
825,13
830,13
835,13
840,13
845,13
850,13
855,13
860,14
865,14
870,14
875,14
880,14
885,14
890,14
895,15
900,15
905,15
910,15
915,15
920,15
925,16
930,16
935,16
940,17
945,16
950,17
955,17
960,17
965,18
970,18
975,18
980,19
985,19
990,19
995,19
1000,20
1005,20
1010,20
1015,20
1020,21
1025,21
1030,21
1035,22
1040,22
1045,22
1050,23
1055,23
1060,23
1065,23
1070,24
1075,24
1080,25
1085,25
1090,25
1095,25
1100,26
1105,26
1110,27
1115,27
1120,27
1125,28
1130,28
1135,28
1140,28
1145,29
1150,29
1155,29
1160,29
1165,30
1170,30
1175,30
1180,30
1185,30
1190,31
1195,31
1200,31
1205,31
1210,31
1215,31
1220,32
1225,32
1230,32
1235,32
1240,32
1245,33
1250,33
1255,33
1260,33
1265,33
1270,33
1275,33
1280,33
1285,33
1290,33
1295,33
1300,33
1305,33
1310,33
1315,33
1320,33
1325,33
1330,33
1335,33
1340,33
1345,33
1350,33
1355,33
1360,32
1365,33
1370,32
1375,32
1380,32
1385,32
1390,32
1395,32
1400,32
1405,31
1410,31
1415,31
1420,31
1425,31
1430,30
1435,30
1440,30
1445,30
1450,29
1455,29
1460,29
1465,28
1470,28
1475,28
1480,28
1485,27
1490,27
1495,27
1500,27
1505,26
1510,26
1515,26
1520,26
1525,25
1530,25
1535,25
1540,24
1545,24
1550,24
1555,24
1560,23
1565,23
1570,22
1575,22
1580,22
1585,21
1590,21
1595,21
1600,21
1605,20
1610,20
1615,20
1620,19
1625,19
1630,19
1635,19
1640,18
1645,18
1650,18
1655,18
1660,17
1665,17
1670,17
1675,17
1680,17
1685,16
1690,16
1695,16
1700,16
1705,16
1710,15
1715,15
1720,15
1725,15
1730,15
1735,15
1740,14
1745,14
1750,14
1755,14
1760,14
1765,14
1770,14
1775,14
1780,14
1785,14
1790,14
1795,14
1800,14
1805,14
1810,14
1815,14
1820,14
1825,14
1830,14
1835,14
1840,14
1845,14
1850,14
1855,14
1860,14
1865,15
1870,14
1875,15
1880,15
1885,15
1890,15
1895,15
1900,15
1905,15
1910,16
1915,16
1920,16
1925,16
1930,16
1935,17
1940,17
1945,17
1950,17
1955,18
1960,18
1965,18
1970,19
1975,19
1980,19
1985,19
1990,20
1995,20
2000,20
2005,21
2010,21
2015,21
2020,22
2025,22
2030,22
2035,23
2040,23
2045,23
2050,23
2055,24
2060,24
2065,25
2070,25
2075,25
2080,25
2085,26
2090,26
2095,26
2100,27
2105,27
2110,28
2115,28
2120,28
2125,28
2130,28
2135,29
2140,29
2145,30
2150,30
2155,30
2160,30
2165,31
2170,31
2175,31
2180,31
2185,31
2190,32
2195,32
2200,32
2205,32
2210,32
2215,32
2220,33
2225,33
2230,33
2235,33
2240,33
2245,33
2250,33
2255,33
2260,33
2265,34
2270,33
2275,34
2280,34
2285,34
2290,34
2295,34
2300,34
2305,34
2310,34
2315,34
2320,34
2325,34
2330,34
2335,33
2340,33
2345,34
2350,33
2355,33
2360,33
2365,33
2370,33
2375,33
2380,33
2385,32
2390,32
2395,32
2400,32
2405,32
2410,32
2415,31
2420,31
2425,31
2430,31
2435,31
2440,30
2445,30
2450,30
2455,29
2460,29
2465,29
2470,29
2475,29
2480,28
2485,28
2490,28
2495,27
2500,27
2505,27
2510,27
2515,26
2520,26
2525,25
2530,25
2535,25
2540,25
2545,24
2550,24
2555,24
2560,23
2565,23
2570,22
2575,23
2580,22
2585,22
2590,22
2595,21
2600,21
2605,21
2610,20
2615,20
2620,20
2625,19
2630,19
2635,19
2640,19
2645,18
2650,18
2655,18
2660,18
2665,18
2670,17
2675,17
2680,17
2685,17
2690,16
2695,16
2700,16
2705,16
2710,16
2715,15
2720,15
2725,15
2730,15
2735,15
2740,15
2745,15
2750,15
2755,15
2760,14
2765,14
2770,14
2775,14
2780,14
2785,14
2790,14
2795,14
2800,14
2805,14
2810,14
2815,14
2820,14
2825,14
2830,14
2835,14
2840,14
2845,14
2850,14
2855,14
2860,14
2865,15
2870,15
2875,15
2880,15
2885,15
2890,15
2895,15
2900,16
2905,16
2910,16
2915,16
2920,16
2925,17
2930,17
2935,17
2940,17
2945,17
2950,17
2955,18
2960,18
2965,19
2970,19
2975,19
2980,19
2985,20
2990,20
